sequence,v115@MhA8GeC8EeA8AeG8JeZEJvhFUgBFhBOnB6oBfqBzsB,v115@MhA8GeC8EeA8AeG8JeZEJvhFUgBFhBKnBziB+oBfqB
TILJSZO,O,O
TILJSOZ,O,O
TILJZSO,O,O
TILJZOS,X,O
TILJOSZ,O,O
TILJOZS,O,O
TILSJZO,O,O
TILSJOZ,O,O
TILSZJO,O,O
TILSZOJ,O,O
TILSOJZ,O,O
TILSOZJ,O,O
TILZJSO,O,O
TILZJOS,X,O
TILZSJO,O,O
TILZSOJ,O,O
TILZOJS,O,X
TILZOSJ,O,X
TILOJSZ,O,O
TILOJZS,O,O
TILOSJZ,O,O
TILOSZJ,O,O
TILOZJS,O,X
TILOZSJ,O,X
TIJLSZO,O,O
TIJLSOZ,O,O
TIJLZSO,O,O
TIJLZOS,X,O
TIJLOSZ,O,O
TIJLOZS,O,O
TIJSLZO,O,O
TIJSLOZ,O,O
TIJSZLO,O,O
TIJSZOL,O,O
TIJSOLZ,O,O
TIJSOZL,O,O
TIJZLSO,O,O
TIJZLOS,X,O
TIJZSLO,O,O
TIJZSOL,O,O
TIJZOLS,O,X
TIJZOSL,O,X
TIJOLSZ,O,O
TIJOLZS,O,O
TIJOSLZ,O,O
TIJOSZL,O,O
TIJOZLS,O,X
TIJOZSL,O,X
TISLJZO,O,O
TISLJOZ,O,O
TISLZJO,O,O
TISLZOJ,O,O
TISLOJZ,O,O
TISLOZJ,O,O
TISJLZO,O,O
TISJLOZ,O,O
TISJZLO,O,O
TISJZOL,O,O
TISJOLZ,O,O
TISJOZL,O,O
TISZLJO,O,O
TISZLOJ,O,O
TISZJLO,O,O
TISZJOL,O,O
TISZOLJ,O,O
TISZOJL,O,O
TISOLJZ,O,O
TISOLZJ,O,O
TISOJLZ,O,O
TISOJZL,O,O
TISOZLJ,O,O
TISOZJL,O,O
TIZLJSO,O,O
TIZLJOS,X,O
TIZLSJO,O,O
TIZLSOJ,O,O
TIZLOJS,O,X
TIZLOSJ,O,X
TIZJLSO,O,O
TIZJLOS,X,O
TIZJSLO,O,O
TIZJSOL,O,O
TIZJOLS,O,X
TIZJOSL,O,X
TIZSLJO,O,O
TIZSLOJ,O,O
TIZSJLO,O,O
TIZSJOL,O,O
TIZSOLJ,O,O
TIZSOJL,O,O
TIZOLJS,O,X
TIZOLSJ,O,X
TIZOJLS,O,X
TIZOJSL,O,X
TIZOSLJ,O,X
TIZOSJL,O,X
TIOLJSZ,O,O
TIOLJZS,O,O
TIOLSJZ,O,O
TIOLSZJ,O,O
TIOLZJS,O,X
TIOLZSJ,O,X
TIOJLSZ,O,O
TIOJLZS,O,O
TIOJSLZ,O,O
TIOJSZL,O,O
TIOJZLS,O,X
TIOJZSL,O,X
TIOSLJZ,O,O
TIOSLZJ,O,O
TIOSJLZ,O,O
TIOSJZL,O,O
TIOSZLJ,O,O
TIOSZJL,O,O
TIOZLJS,O,X
TIOZLSJ,O,X
TIOZJLS,O,X
TIOZJSL,O,X
TIOZSLJ,O,X
TIOZSJL,O,X
TLIJSZO,O,O
TLIJSOZ,O,O
TLIJZSO,O,O
TLIJZOS,X,O
TLIJOSZ,O,O
TLIJOZS,O,O
TLISJZO,O,O
TLISJOZ,O,O
TLISZJO,O,O
TLISZOJ,O,O
TLISOJZ,O,O
TLISOZJ,O,O
TLIZJSO,O,O
TLIZJOS,X,O
TLIZSJO,O,O
TLIZSOJ,O,O
TLIZOJS,O,X
TLIZOSJ,O,X
TLIOJSZ,O,O
TLIOJZS,O,O
TLIOSJZ,O,O
TLIOSZJ,O,O
TLIOZJS,O,X
TLIOZSJ,O,X
TLJISZO,O,O
TLJISOZ,O,O
TLJIZSO,O,O
TLJIZOS,X,O
TLJIOSZ,O,O
TLJIOZS,O,O
TLJSIZO,O,O
TLJSIOZ,O,O
TLJSZIO,O,O
TLJSZOI,O,O
TLJSOIZ,O,O
TLJSOZI,O,O
TLJZISO,O,O
TLJZIOS,X,O
TLJZSIO,O,O
TLJZSOI,O,O
TLJZOIS,X,O
TLJZOSI,X,O
TLJOISZ,O,O
TLJOIZS,O,O
TLJOSIZ,O,O
TLJOSZI,O,O
TLJOZIS,O,O
TLJOZSI,O,O
TLSIJZO,O,O
TLSIJOZ,O,O
TLSIZJO,O,O
TLSIZOJ,O,O
TLSIOJZ,O,O
TLSIOZJ,O,O
TLSJIZO,O,O
TLSJIOZ,O,O
TLSJZIO,O,O
TLSJZOI,O,O
TLSJOIZ,O,O
TLSJOZI,O,O
TLSZIJO,O,O
TLSZIOJ,O,O
TLSZJIO,O,O
TLSZJOI,O,O
TLSZOIJ,O,O
TLSZOJI,O,O
TLSOIJZ,O,O
TLSOIZJ,O,O
TLSOJIZ,O,O
TLSOJZI,O,O
TLSOZIJ,O,O
TLSOZJI,O,O
TLZIJSO,O,O
TLZIJOS,X,O
TLZISJO,O,O
TLZISOJ,O,O
TLZIOJS,O,X
TLZIOSJ,O,X
TLZJISO,O,O
TLZJIOS,X,O
TLZJSIO,O,O
TLZJSOI,O,O
TLZJOIS,X,O
TLZJOSI,X,O
TLZSIJO,O,O
TLZSIOJ,O,O
TLZSJIO,O,O
TLZSJOI,O,O
TLZSOIJ,O,O
TLZSOJI,O,O
TLZOIJS,O,X
TLZOISJ,O,X
TLZOJIS,O,X
TLZOJSI,O,X
TLZOSIJ,O,X
TLZOSJI,O,X
TLOIJSZ,O,O
TLOIJZS,O,O
TLOISJZ,O,O
TLOISZJ,O,O
TLOIZJS,O,X
TLOIZSJ,O,X
TLOJISZ,O,O
TLOJIZS,O,O
TLOJSIZ,O,O
TLOJSZI,O,O
TLOJZIS,O,O
TLOJZSI,O,O
TLOSIJZ,O,O
TLOSIZJ,O,O
TLOSJIZ,O,O
TLOSJZI,O,O
TLOSZIJ,O,O
TLOSZJI,O,O
TLOZIJS,O,X
TLOZISJ,O,X
TLOZJIS,O,X
TLOZJSI,O,X
TLOZSIJ,O,X
TLOZSJI,O,X
TJILSZO,O,O
TJILSOZ,O,O
TJILZSO,O,O
TJILZOS,X,O
TJILOSZ,O,O
TJILOZS,O,O
TJISLZO,O,O
TJISLOZ,O,O
TJISZLO,O,O
TJISZOL,O,O
TJISOLZ,O,O
TJISOZL,O,O
TJIZLSO,O,O
TJIZLOS,X,O
TJIZSLO,O,O
TJIZSOL,O,O
TJIZOLS,O,X
TJIZOSL,O,X
TJIOLSZ,O,O
TJIOLZS,O,O
TJIOSLZ,O,O
TJIOSZL,O,O
TJIOZLS,O,X
TJIOZSL,O,X
TJLISZO,O,O
TJLISOZ,O,O
TJLIZSO,O,O
TJLIZOS,X,O
TJLIOSZ,O,O
TJLIOZS,O,O
TJLSIZO,O,O
TJLSIOZ,O,O
TJLSZIO,O,O
TJLSZOI,O,O
TJLSOIZ,O,O
TJLSOZI,O,O
TJLZISO,O,O
TJLZIOS,X,O
TJLZSIO,O,O
TJLZSOI,O,O
TJLZOIS,X,O
TJLZOSI,X,O
TJLOISZ,O,O
TJLOIZS,O,O
TJLOSIZ,O,O
TJLOSZI,O,O
TJLOZIS,O,O
TJLOZSI,O,O
TJSILZO,O,O
TJSILOZ,O,O
TJSIZLO,O,O
TJSIZOL,O,O
TJSIOLZ,O,O
TJSIOZL,O,O
TJSLIZO,O,O
TJSLIOZ,O,O
TJSLZIO,O,O
TJSLZOI,O,O
TJSLOIZ,O,O
TJSLOZI,O,O
TJSZILO,O,O
TJSZIOL,O,O
TJSZLIO,O,O
TJSZLOI,O,O
TJSZOIL,O,O
TJSZOLI,O,O
TJSOILZ,O,O
TJSOIZL,O,O
TJSOLIZ,O,O
TJSOLZI,O,O
TJSOZIL,O,O
TJSOZLI,O,O
TJZILSO,O,O
TJZILOS,X,O
TJZISLO,O,O
TJZISOL,O,O
TJZIOLS,O,X
TJZIOSL,O,X
TJZLISO,O,O
TJZLIOS,X,O
TJZLSIO,O,O
TJZLSOI,O,O
TJZLOIS,X,O
TJZLOSI,X,O
TJZSILO,O,O
TJZSIOL,O,O
TJZSLIO,O,O
TJZSLOI,O,O
TJZSOIL,O,O
TJZSOLI,O,O
TJZOILS,O,X
TJZOISL,O,X
TJZOLIS,O,X
TJZOLSI,O,X
TJZOSIL,O,X
TJZOSLI,O,X
TJOILSZ,O,O
TJOILZS,O,O
TJOISLZ,O,O
TJOISZL,O,O
TJOIZLS,O,X
TJOIZSL,O,X
TJOLISZ,O,O
TJOLIZS,O,O
TJOLSIZ,O,O
TJOLSZI,O,O
TJOLZIS,O,O
TJOLZSI,O,O
TJOSILZ,O,O
TJOSIZL,O,O
TJOSLIZ,O,O
TJOSLZI,O,O
TJOSZIL,O,O
TJOSZLI,O,O
TJOZILS,O,X
TJOZISL,O,X
TJOZLIS,O,X
TJOZLSI,O,X
TJOZSIL,O,X
TJOZSLI,O,X
TSILJZO,O,O
TSILJOZ,O,O
TSILZJO,O,O
TSILZOJ,O,O
TSILOJZ,O,O
TSILOZJ,O,O
TSIJLZO,O,O
TSIJLOZ,O,O
TSIJZLO,O,O
TSIJZOL,O,O
TSIJOLZ,O,O
TSIJOZL,O,O
TSIZLJO,O,O
TSIZLOJ,O,O
TSIZJLO,O,O
TSIZJOL,O,O
TSIZOLJ,O,O
TSIZOJL,O,O
TSIOLJZ,O,O
TSIOLZJ,O,O
TSIOJLZ,O,O
TSIOJZL,O,O
TSIOZLJ,O,O
TSIOZJL,O,O
TSLIJZO,O,O
TSLIJOZ,O,O
TSLIZJO,O,O
TSLIZOJ,O,O
TSLIOJZ,O,O
TSLIOZJ,O,O
TSLJIZO,O,O
TSLJIOZ,O,O
TSLJZIO,O,O
TSLJZOI,O,O
TSLJOIZ,O,O
TSLJOZI,O,O
TSLZIJO,O,O
TSLZIOJ,O,O
TSLZJIO,O,O
TSLZJOI,O,O
TSLZOIJ,O,O
TSLZOJI,O,O
TSLOIJZ,O,O
TSLOIZJ,O,O
TSLOJIZ,O,O
TSLOJZI,O,O
TSLOZIJ,O,O
TSLOZJI,O,O
TSJILZO,O,O
TSJILOZ,O,O
TSJIZLO,O,O
TSJIZOL,O,O
TSJIOLZ,O,O
TSJIOZL,O,O
TSJLIZO,O,O
TSJLIOZ,O,O
TSJLZIO,O,O
TSJLZOI,O,O
TSJLOIZ,O,O
TSJLOZI,O,O
TSJZILO,O,O
TSJZIOL,O,O
TSJZLIO,O,O
TSJZLOI,O,O
TSJZOIL,O,O
TSJZOLI,O,O
TSJOILZ,O,O
TSJOIZL,O,O
TSJOLIZ,O,O
TSJOLZI,O,O
TSJOZIL,O,O
TSJOZLI,O,O
TSZILJO,O,O
TSZILOJ,O,O
TSZIJLO,O,O
TSZIJOL,O,O
TSZIOLJ,O,O
TSZIOJL,O,O
TSZLIJO,O,O
TSZLIOJ,O,O
TSZLJIO,O,O
TSZLJOI,O,O
TSZLOIJ,O,O
TSZLOJI,O,O
TSZJILO,O,O
TSZJIOL,O,O
TSZJLIO,O,O
TSZJLOI,O,O
TSZJOIL,O,O
TSZJOLI,O,O
TSZOILJ,O,O
TSZOIJL,O,O
TSZOLIJ,O,O
TSZOLJI,O,O
TSZOJIL,O,O
TSZOJLI,O,O
TSOILJZ,O,O
TSOILZJ,O,O
TSOIJLZ,O,O
TSOIJZL,O,O
TSOIZLJ,O,O
TSOIZJL,O,O
TSOLIJZ,O,O
TSOLIZJ,O,O
TSOLJIZ,O,O
TSOLJZI,O,O
TSOLZIJ,O,O
TSOLZJI,O,O
TSOJILZ,O,O
TSOJIZL,O,O
TSOJLIZ,O,O
TSOJLZI,O,O
TSOJZIL,O,O
TSOJZLI,O,O
TSOZILJ,O,O
TSOZIJL,O,O
TSOZLIJ,O,O
TSOZLJI,O,O
TSOZJIL,O,O
TSOZJLI,O,O
TZILJSO,O,O
TZILJOS,X,O
TZILSJO,O,O
TZILSOJ,O,O
TZILOJS,O,X
TZILOSJ,O,X
TZIJLSO,O,O
TZIJLOS,X,O
TZIJSLO,O,O
TZIJSOL,O,O
TZIJOLS,O,X
TZIJOSL,O,X
TZISLJO,O,O
TZISLOJ,O,O
TZISJLO,O,O
TZISJOL,O,O
TZISOLJ,O,O
TZISOJL,O,O
TZIOLJS,O,X
TZIOLSJ,O,X
TZIOJLS,O,X
TZIOJSL,O,X
TZIOSLJ,O,X
TZIOSJL,O,X
TZLIJSO,O,O
TZLIJOS,X,O
TZLISJO,O,O
TZLISOJ,O,O
TZLIOJS,O,X
TZLIOSJ,O,X
TZLJISO,O,O
TZLJIOS,X,O
TZLJSIO,O,O
TZLJSOI,O,O
TZLJOIS,X,O
TZLJOSI,X,O
TZLSIJO,O,O
TZLSIOJ,O,O
TZLSJIO,O,O
TZLSJOI,O,O
TZLSOIJ,O,O
TZLSOJI,O,O
TZLOIJS,O,X
TZLOISJ,O,X
TZLOJIS,O,X
TZLOJSI,O,X
TZLOSIJ,O,X
TZLOSJI,O,X
TZJILSO,O,O
TZJILOS,X,O
TZJISLO,O,O
TZJISOL,O,O
TZJIOLS,O,X
TZJIOSL,O,X
TZJLISO,O,O
TZJLIOS,X,O
TZJLSIO,O,O
TZJLSOI,O,O
TZJLOIS,X,O
TZJLOSI,X,O
TZJSILO,O,O
TZJSIOL,O,O
TZJSLIO,O,O
TZJSLOI,O,O
TZJSOIL,O,O
TZJSOLI,O,O
TZJOILS,O,X
TZJOISL,O,X
TZJOLIS,O,X
TZJOLSI,O,X
TZJOSIL,O,X
TZJOSLI,O,X
TZSILJO,O,O
TZSILOJ,O,O
TZSIJLO,O,O
TZSIJOL,O,O
TZSIOLJ,O,O
TZSIOJL,O,O
TZSLIJO,O,O
TZSLIOJ,O,O
TZSLJIO,O,O
TZSLJOI,O,O
TZSLOIJ,O,O
TZSLOJI,O,O
TZSJILO,O,O
TZSJIOL,O,O
TZSJLIO,O,O
TZSJLOI,O,O
TZSJOIL,O,O
TZSJOLI,O,O
TZSOILJ,O,O
TZSOIJL,O,O
TZSOLIJ,O,O
TZSOLJI,O,O
TZSOJIL,O,O
TZSOJLI,O,O
TZOILJS,O,X
TZOILSJ,O,X
TZOIJLS,O,X
TZOIJSL,O,X
TZOISLJ,O,X
TZOISJL,O,X
TZOLIJS,O,X
TZOLISJ,O,X
TZOLJIS,O,X
TZOLJSI,O,X
TZOLSIJ,O,X
TZOLSJI,O,X
TZOJILS,O,X
TZOJISL,O,X
TZOJLIS,O,X
TZOJLSI,O,X
TZOJSIL,O,X
TZOJSLI,O,X
TZOSILJ,O,X
TZOSIJL,O,X
TZOSLIJ,O,X
TZOSLJI,O,X
TZOSJIL,O,X
TZOSJLI,O,X
TOILJSZ,O,O
TOILJZS,O,O
TOILSJZ,O,O
TOILSZJ,O,O
TOILZJS,O,X
TOILZSJ,O,X
TOIJLSZ,O,O
TOIJLZS,O,O
TOIJSLZ,O,O
TOIJSZL,O,O
TOIJZLS,O,X
TOIJZSL,O,X
TOISLJZ,O,O
TOISLZJ,O,O
TOISJLZ,O,O
TOISJZL,O,O
TOISZLJ,O,O
TOISZJL,O,O
TOIZLJS,O,X
TOIZLSJ,O,X
TOIZJLS,O,X
TOIZJSL,O,X
TOIZSLJ,O,X
TOIZSJL,O,X
TOLIJSZ,O,O
TOLIJZS,O,O
TOLISJZ,O,O
TOLISZJ,O,O
TOLIZJS,O,X
TOLIZSJ,O,X
TOLJISZ,O,O
TOLJIZS,O,O
TOLJSIZ,O,O
TOLJSZI,O,O
TOLJZIS,O,O
TOLJZSI,O,O
TOLSIJZ,O,O
TOLSIZJ,O,O
TOLSJIZ,O,O
TOLSJZI,O,O
TOLSZIJ,O,O
TOLSZJI,O,O
TOLZIJS,O,X
TOLZISJ,O,X
TOLZJIS,O,X
TOLZJSI,O,X
TOLZSIJ,O,X
TOLZSJI,O,X
TOJILSZ,O,O
TOJILZS,O,O
TOJISLZ,O,O
TOJISZL,O,O
TOJIZLS,O,X
TOJIZSL,O,X
TOJLISZ,O,O
TOJLIZS,O,O
TOJLSIZ,O,O
TOJLSZI,O,O
TOJLZIS,O,O
TOJLZSI,O,O
TOJSILZ,O,O
TOJSIZL,O,O
TOJSLIZ,O,O
TOJSLZI,O,O
TOJSZIL,O,O
TOJSZLI,O,O
TOJZILS,O,X
TOJZISL,O,X
TOJZLIS,O,X
TOJZLSI,O,X
TOJZSIL,O,X
TOJZSLI,O,X
TOSILJZ,O,O
TOSILZJ,O,O
TOSIJLZ,O,O
TOSIJZL,O,O
TOSIZLJ,O,O
TOSIZJL,O,O
TOSLIJZ,O,O
TOSLIZJ,O,O
TOSLJIZ,O,O
TOSLJZI,O,O
TOSLZIJ,O,O
TOSLZJI,O,O
TOSJILZ,O,O
TOSJIZL,O,O
TOSJLIZ,O,O
TOSJLZI,O,O
TOSJZIL,O,O
TOSJZLI,O,O
TOSZILJ,O,O
TOSZIJL,O,O
TOSZLIJ,O,O
TOSZLJI,O,O
TOSZJIL,O,O
TOSZJLI,O,O
TOZILJS,O,X
TOZILSJ,O,X
TOZIJLS,O,X
TOZIJSL,O,X
TOZISLJ,O,X
TOZISJL,O,X
TOZLIJS,O,X
TOZLISJ,O,X
TOZLJIS,O,X
TOZLJSI,O,X
TOZLSIJ,O,X
TOZLSJI,O,X
TOZJILS,O,X
TOZJISL,O,X
TOZJLIS,O,X
TOZJLSI,O,X
TOZJSIL,O,X
TOZJSLI,O,X
TOZSILJ,O,X
TOZSIJL,O,X
TOZSLIJ,O,X
TOZSLJI,O,X
TOZSJIL,O,X
TOZSJLI,O,X
ITLJSZO,O,O
ITLJSOZ,O,O
ITLJZSO,O,O
ITLJZOS,X,O
ITLJOSZ,O,O
ITLJOZS,O,O
ITLSJZO,O,O
ITLSJOZ,O,O
ITLSZJO,O,O
ITLSZOJ,O,O
ITLSOJZ,O,O
ITLSOZJ,O,O
ITLZJSO,O,O
ITLZJOS,X,O
ITLZSJO,O,O
ITLZSOJ,O,O
ITLZOJS,O,X
ITLZOSJ,O,X
ITLOJSZ,O,O
ITLOJZS,O,O
ITLOSJZ,O,O
ITLOSZJ,O,O
ITLOZJS,O,X
ITLOZSJ,O,X
ITJLSZO,O,O
ITJLSOZ,O,O
ITJLZSO,O,O
ITJLZOS,X,O
ITJLOSZ,O,O
ITJLOZS,O,O
ITJSLZO,O,O
ITJSLOZ,O,O
ITJSZLO,O,O
ITJSZOL,O,O
ITJSOLZ,O,O
ITJSOZL,O,O
ITJZLSO,O,O
ITJZLOS,X,O
ITJZSLO,O,O
ITJZSOL,O,O
ITJZOLS,O,X
ITJZOSL,O,X
ITJOLSZ,O,O
ITJOLZS,O,O
ITJOSLZ,O,O
ITJOSZL,O,O
ITJOZLS,O,X
ITJOZSL,O,X
ITSLJZO,O,O
ITSLJOZ,O,O
ITSLZJO,O,O
ITSLZOJ,O,O
ITSLOJZ,O,O
ITSLOZJ,O,O
ITSJLZO,O,O
ITSJLOZ,O,O
ITSJZLO,O,O
ITSJZOL,O,O
ITSJOLZ,O,O
ITSJOZL,O,O
ITSZLJO,O,O
ITSZLOJ,O,O
ITSZJLO,O,O
ITSZJOL,O,O
ITSZOLJ,O,O
ITSZOJL,O,O
ITSOLJZ,O,O
ITSOLZJ,O,O
ITSOJLZ,O,O
ITSOJZL,O,O
ITSOZLJ,O,O
ITSOZJL,O,O
ITZLJSO,O,O
ITZLJOS,X,O
ITZLSJO,O,O
ITZLSOJ,O,O
ITZLOJS,O,X
ITZLOSJ,O,X
ITZJLSO,O,O
ITZJLOS,X,O
ITZJSLO,O,O
ITZJSOL,O,O
ITZJOLS,O,X
ITZJOSL,O,X
ITZSLJO,O,O
ITZSLOJ,O,O
ITZSJLO,O,O
ITZSJOL,O,O
ITZSOLJ,O,O
ITZSOJL,O,O
ITZOLJS,O,X
ITZOLSJ,O,X
ITZOJLS,O,X
ITZOJSL,O,X
ITZOSLJ,O,X
ITZOSJL,O,X
ITOLJSZ,O,O
ITOLJZS,O,O
ITOLSJZ,O,O
ITOLSZJ,O,O
ITOLZJS,O,X
ITOLZSJ,O,X
ITOJLSZ,O,O
ITOJLZS,O,O
ITOJSLZ,O,O
ITOJSZL,O,O
ITOJZLS,O,X
ITOJZSL,O,X
ITOSLJZ,O,O
ITOSLZJ,O,O
ITOSJLZ,O,O
ITOSJZL,O,O
ITOSZLJ,O,O
ITOSZJL,O,O
ITOZLJS,O,X
ITOZLSJ,O,X
ITOZJLS,O,X
ITOZJSL,O,X
ITOZSLJ,O,X
ITOZSJL,O,X
ILTJSZO,O,O
ILTJSOZ,O,O
ILTJZSO,O,O
ILTJZOS,X,O
ILTJOSZ,O,O
ILTJOZS,O,O
ILTSJZO,O,O
ILTSJOZ,O,O
ILTSZJO,O,O
ILTSZOJ,O,O
ILTSOJZ,O,O
ILTSOZJ,O,O
ILTZJSO,O,O
ILTZJOS,X,O
ILTZSJO,O,O
ILTZSOJ,O,O
ILTZOJS,O,X
ILTZOSJ,O,X
ILTOJSZ,O,O
ILTOJZS,O,O
ILTOSJZ,O,O
ILTOSZJ,O,O
ILTOZJS,O,X
ILTOZSJ,O,X
ILJTSZO,O,O
ILJTSOZ,O,O
ILJTZSO,O,O
ILJTZOS,X,O
ILJTOSZ,O,O
ILJTOZS,O,O
ILJSTZO,O,O
ILJSTOZ,O,O
ILJSZTO,O,O
ILJSZOT,O,O
ILJSOTZ,O,O
ILJSOZT,O,O
ILJZTSO,O,O
ILJZTOS,X,O
ILJZSTO,O,O
ILJZSOT,O,O
ILJZOTS,X,O
ILJZOST,X,O
ILJOTSZ,O,O
ILJOTZS,O,O
ILJOSTZ,O,O
ILJOSZT,O,O
ILJOZTS,O,O
ILJOZST,O,O
ILSTJZO,O,O
ILSTJOZ,O,O
ILSTZJO,O,O
ILSTZOJ,O,O
ILSTOJZ,O,O
ILSTOZJ,O,O
ILSJTZO,O,O
ILSJTOZ,O,O
ILSJZTO,O,O
ILSJZOT,O,O
ILSJOTZ,O,O
ILSJOZT,O,O
ILSZTJO,O,O
ILSZTOJ,O,O
ILSZJTO,O,O
ILSZJOT,O,O
ILSZOTJ,O,O
ILSZOJT,O,O
ILSOTJZ,O,O
ILSOTZJ,O,O
ILSOJTZ,O,O
ILSOJZT,O,O
ILSOZTJ,O,O
ILSOZJT,O,O
ILZTJSO,O,O
ILZTJOS,X,O
ILZTSJO,O,O
ILZTSOJ,O,O
ILZTOJS,O,X
ILZTOSJ,O,X
ILZJTSO,O,O
ILZJTOS,X,O
ILZJSTO,O,O
ILZJSOT,O,O
ILZJOTS,X,O
ILZJOST,X,O
ILZSTJO,O,O
ILZSTOJ,O,O
ILZSJTO,O,O
ILZSJOT,O,O
ILZSOTJ,O,O
ILZSOJT,O,O
ILZOTJS,O,X
ILZOTSJ,O,X
ILZOJTS,O,X
ILZOJST,O,X
ILZOSTJ,O,X
ILZOSJT,O,X
ILOTJSZ,O,O
ILOTJZS,O,O
ILOTSJZ,O,O
ILOTSZJ,O,O
ILOTZJS,O,X
ILOTZSJ,O,X
ILOJTSZ,O,O
ILOJTZS,O,O
ILOJSTZ,O,O
ILOJSZT,O,O
ILOJZTS,O,O
ILOJZST,O,O
ILOSTJZ,O,O
ILOSTZJ,O,O
ILOSJTZ,O,O
ILOSJZT,O,O
ILOSZTJ,O,O
ILOSZJT,O,O
ILOZTJS,O,X
ILOZTSJ,O,X
ILOZJTS,O,X
ILOZJST,O,X
ILOZSTJ,O,X
ILOZSJT,O,X
IJTLSZO,O,O
IJTLSOZ,O,O
IJTLZSO,O,O
IJTLZOS,X,O
IJTLOSZ,O,O
IJTLOZS,O,O
IJTSLZO,O,O
IJTSLOZ,O,O
IJTSZLO,O,O
IJTSZOL,O,O
IJTSOLZ,O,O
IJTSOZL,O,O
IJTZLSO,O,O
IJTZLOS,X,O
IJTZSLO,O,O
IJTZSOL,O,O
IJTZOLS,O,X
IJTZOSL,O,X
IJTOLSZ,O,O
IJTOLZS,O,O
IJTOSLZ,O,O
IJTOSZL,O,O
IJTOZLS,O,X
IJTOZSL,O,X
IJLTSZO,O,O
IJLTSOZ,O,O
IJLTZSO,O,O
IJLTZOS,X,O
IJLTOSZ,O,O
IJLTOZS,O,O
IJLSTZO,O,O
IJLSTOZ,O,O
IJLSZTO,O,O
IJLSZOT,O,O
IJLSOTZ,O,O
IJLSOZT,O,O
IJLZTSO,O,O
IJLZTOS,X,O
IJLZSTO,O,O
IJLZSOT,O,O
IJLZOTS,X,O
