sequence,v115@9gA8IeA8IeA8CeA8AeB8BeC8DeC8JeFAJvhFXhB8mB?CjBWqBToBRwB,v115@9gA8IeA8IeA8CeA8AeB8BeC8DeC8JeuEJvhFFhB8mB?foB6oBTlBRwB,v115@9gA8IeA8IeA8CeA8AeB8BeC8DeC8JeCAJvhFXhB8mB?ziB+oBVqBRwB,v115@9gA8IeA8IeA8CeA8AeB8BeC8DeC8JeqEJvhF/lBFhB?8mBziB+oBRwB,v115@9gA8IeA8IeA8CeA8AeB8BeC8DeC8JeuEJvhF1lB6mB?xiBToB0qBXsB,v115@9gA8IeA8IeA8CeA8AeB8BeC8DeC8JeRAJvhFfoB6oB?WqBlmB0qBzrB,v115@9gA8IeA8IeA8CeA8AeB8BeC8DeC8Je/GJvhFClBxnB?UlBToBWwBFsB
ISLTJZO,X,O,X,O,X,O,X
ISLTJOZ,X,X,X,O,X,X,X
ISLTZJO,X,O,X,O,X,X,X
ISLTZOJ,X,O,X,O,X,X,O
ISLTOJZ,X,O,X,X,X,X,X
ISLTOZJ,X,O,X,X,X,X,O
ISLJTZO,O,O,X,O,X,O,X
ISLJTOZ,X,X,X,O,X,X,X
ISLJZTO,O,O,X,O,X,X,X
ISLJZOT,O,O,X,O,X,X,O
ISLJOTZ,X,O,X,O,X,X,X
ISLJOZT,X,O,X,O,X,X,O
ISLZTJO,O,O,X,O,X,X,X
ISLZTOJ,O,O,X,O,X,X,O
ISLZJTO,O,O,X,O,X,X,X
ISLZJOT,O,O,X,O,X,X,O
ISLZOTJ,O,O,X,O,X,X,O
ISLZOJT,O,O,X,O,X,X,O
ISLOTJZ,X,O,X,X,X,X,X
ISLOTZJ,X,O,X,X,X,X,O
ISLOJTZ,X,O,X,O,X,X,X
ISLOJZT,X,O,X,O,X,X,O
ISLOZTJ,X,O,X,O,X,X,O
ISLOZJT,X,O,X,O,X,X,O
ISJTLZO,O,O,O,X,X,O,X
ISJTLOZ,X,X,O,X,X,X,X
ISJTZLO,O,O,O,X,X,X,X
ISJTZOL,O,O,O,X,X,X,X
ISJTOLZ,O,X,O,X,X,X,X
ISJTOZL,O,X,O,X,X,X,X
ISJLTZO,O,O,X,O,X,O,X
ISJLTOZ,X,X,X,O,X,X,X
ISJLZTO,O,O,X,O,X,X,X
ISJLZOT,O,O,X,O,X,X,O
ISJLOTZ,X,O,X,O,X,X,X
ISJLOZT,X,O,X,O,X,X,O
ISJZTLO,O,O,O,X,X,X,X
ISJZTOL,O,O,O,X,X,X,X
ISJZLTO,O,O,O,O,X,X,X
ISJZLOT,O,O,O,O,X,X,X
ISJZOTL,O,O,O,X,X,X,X
ISJZOLT,O,O,O,O,X,X,X
ISJOTLZ,O,O,O,X,X,X,X
ISJOTZL,O,O,O,X,X,X,X
ISJOLTZ,O,O,X,O,X,X,X
ISJOLZT,O,O,X,O,X,X,X
ISJOZTL,O,O,O,X,X,X,X
ISJOZLT,O,O,O,O,X,X,X
ISZTLJO,O,O,O,X,X,X,X
ISZTLOJ,O,O,O,X,X,X,X
ISZTJLO,O,O,O,X,X,X,X
ISZTJOL,O,O,O,X,X,X,X
ISZTOLJ,O,O,O,X,X,X,X
ISZTOJL,O,O,O,X,X,X,X
ISZLTJO,O,O,O,O,X,X,X
ISZLTOJ,O,O,O,O,X,X,O
ISZLJTO,O,O,O,O,X,X,X
ISZLJOT,O,O,O,O,X,X,O
ISZLOTJ,O,O,X,O,X,X,O
ISZLOJT,O,O,X,O,X,X,O
ISZJTLO,O,O,O,X,X,X,X
ISZJTOL,O,O,O,X,X,X,X
ISZJLTO,O,O,O,O,X,X,X
ISZJLOT,O,O,O,O,X,X,X
ISZJOTL,O,O,O,X,X,X,X
ISZJOLT,O,O,O,O,X,X,X
ISZOTLJ,O,O,O,X,X,X,X
ISZOTJL,O,O,O,X,X,X,X
ISZOLTJ,O,O,X,X,X,X,X
ISZOLJT,O,O,X,X,X,X,X
ISZOJTL,O,O,O,X,X,X,X
ISZOJLT,O,O,O,X,X,X,X
ISOTLJZ,X,O,X,X,X,X,X
ISOTLZJ,X,O,X,X,X,X,X
ISOTJLZ,X,O,X,X,X,X,X
ISOTJZL,X,O,X,X,X,X,X
ISOTZLJ,X,O,X,X,X,X,X
ISOTZJL,X,O,X,X,X,X,X
ISOLTJZ,X,O,X,X,X,X,X
ISOLTZJ,X,O,X,X,X,X,O
ISOLJTZ,O,O,X,X,X,X,X
ISOLJZT,O,O,X,X,X,X,O
ISOLZTJ,O,O,X,X,X,X,O
ISOLZJT,O,O,X,X,X,X,O
ISOJTLZ,O,O,X,X,X,X,X
ISOJTZL,O,O,X,X,X,X,X
ISOJLTZ,O,O,X,X,X,X,X
ISOJLZT,O,O,X,X,X,X,X
ISOJZTL,O,O,X,X,X,X,X
ISOJZLT,O,O,X,X,X,X,X
ISOZTLJ,O,O,X,X,X,X,X
ISOZTJL,O,O,X,X,X,X,X
ISOZLTJ,O,O,X,X,X,X,X
ISOZLJT,O,O,X,X,X,X,X
ISOZJTL,O,O,X,X,X,X,X
ISOZJLT,O,O,X,X,X,X,X
IZTLJSO,O,O,O,O,X,X,X
IZTLJOS,O,X,O,O,O,X,X
IZTLSJO,O,O,O,O,X,X,X
IZTLSOJ,O,O,O,O,X,X,X
IZTLOJS,X,O,O,X,O,X,X
IZTLOSJ,X,O,O,X,O,X,X
IZTJLSO,O,O,O,O,X,X,X
IZTJLOS,O,X,O,O,O,X,X
IZTJSLO,O,O,O,X,X,X,X
IZTJSOL,O,O,O,X,X,X,X
IZTJOLS,O,O,O,O,O,X,X
IZTJOSL,O,O,O,X,O,X,X
IZTSLJO,O,O,O,X,X,X,X
IZTSLOJ,O,O,O,X,X,X,X
IZTSJLO,O,O,O,X,X,X,X
IZTSJOL,O,O,O,X,X,X,X
IZTSOLJ,O,O,O,X,X,X,X
IZTSOJL,O,O,O,X,X,X,X
IZTOLJS,O,O,O,X,O,X,X
IZTOLSJ,O,O,O,X,O,X,X
IZTOJLS,O,O,O,X,O,X,X
IZTOJSL,O,O,O,X,O,X,X
IZTOSLJ,O,O,O,X,O,X,X
IZTOSJL,O,O,O,X,O,X,X
IZLTJSO,O,O,O,O,X,X,X
IZLTJOS,O,X,O,O,X,X,X
IZLTSJO,O,O,O,O,X,X,X
IZLTSOJ,O,O,O,O,X,X,X
IZLTOJS,X,O,O,X,X,X,X
IZLTOSJ,X,O,O,X,X,X,X
IZLJTSO,O,O,O,O,X,X,X
IZLJTOS,O,X,O,O,X,X,X
IZLJSTO,O,O,O,O,X,X,X
IZLJSOT,O,O,O,O,X,X,X
IZLJOTS,O,X,O,O,X,X,X
IZLJOST,O,X,O,O,X,X,X
IZLSTJO,O,O,O,O,X,X,X
IZLSTOJ,O,O,O,O,X,X,O
IZLSJTO,O,O,O,O,X,X,X
IZLSJOT,O,O,O,O,X,X,O
IZLSOTJ,O,O,X,O,X,X,O
IZLSOJT,O,O,X,O,X,X,O
IZLOTJS,O,O,X,X,X,X,X
IZLOTSJ,O,O,X,X,X,X,X
IZLOJTS,O,O,X,O,X,X,X
IZLOJST,O,O,X,O,X,X,X
IZLOSTJ,O,O,X,O,X,X,X
IZLOSJT,O,O,X,O,X,X,X
IZJTLSO,O,O,O,O,X,X,X
IZJTLOS,O,X,O,O,O,X,X
IZJTSLO,O,O,O,X,X,X,X
IZJTSOL,O,O,O,X,X,X,X
IZJTOLS,O,O,O,O,O,X,X
IZJTOSL,O,O,O,X,O,X,X
IZJLTSO,O,O,O,O,X,X,X
IZJLTOS,O,X,O,O,X,X,X
IZJLSTO,O,O,O,O,X,X,X
IZJLSOT,O,O,O,O,X,X,X
IZJLOTS,O,X,O,O,X,X,X
IZJLOST,O,X,O,O,X,X,X
IZJSTLO,O,O,O,X,X,X,X
IZJSTOL,O,O,O,X,X,X,X
IZJSLTO,O,O,O,O,X,X,X
IZJSLOT,O,O,O,O,X,X,X
IZJSOTL,O,O,O,X,X,X,X
IZJSOLT,O,O,O,O,X,X,X
IZJOTLS,O,O,O,O,O,X,X
IZJOTSL,O,O,O,X,O,X,X
IZJOLTS,O,O,O,O,O,X,X
IZJOLST,O,O,O,O,X,X,X
IZJOSTL,O,O,O,X,O,X,X
IZJOSLT,O,O,O,O,X,X,X
IZSTLJO,O,O,O,X,X,X,X
IZSTLOJ,O,O,O,X,X,X,X
IZSTJLO,O,O,O,X,X,X,X
IZSTJOL,O,O,O,X,X,X,X
IZSTOLJ,O,O,O,X,X,X,X
IZSTOJL,O,O,O,X,X,X,X
IZSLTJO,O,O,O,O,X,X,X
IZSLTOJ,O,O,O,O,X,X,O
IZSLJTO,O,O,O,O,X,X,X
IZSLJOT,O,O,O,O,X,X,O
IZSLOTJ,O,O,X,O,X,X,O
IZSLOJT,O,O,X,O,X,X,O
IZSJTLO,O,O,O,X,X,X,X
IZSJTOL,O,O,O,X,X,X,X
IZSJLTO,O,O,O,O,X,X,X
IZSJLOT,O,O,O,O,X,X,X
IZSJOTL,O,O,O,X,X,X,X
IZSJOLT,O,O,O,O,X,X,X
IZSOTLJ,O,O,O,X,X,X,X
IZSOTJL,O,O,O,X,X,X,X
IZSOLTJ,O,O,X,X,X,X,X
IZSOLJT,O,O,X,X,X,X,X
IZSOJTL,O,O,O,X,X,X,X
IZSOJLT,O,O,O,X,X,X,X
IZOTLJS,O,O,O,X,O,X,X
IZOTLSJ,O,O,O,X,O,X,X
IZOTJLS,O,O,O,X,O,X,X
IZOTJSL,O,O,O,X,O,X,X
IZOTSLJ,O,O,O,X,O,X,X
IZOTSJL,O,O,O,X,O,X,X
IZOLTJS,O,O,X,X,O,X,X
IZOLTSJ,O,O,X,X,O,X,X
IZOLJTS,O,O,X,O,O,X,X
IZOLJST,O,O,X,O,X,X,X
IZOLSTJ,O,O,X,O,X,X,X
IZOLSJT,O,O,X,O,X,X,X
IZOJTLS,O,O,O,O,O,X,X
IZOJTSL,O,O,O,X,O,X,X
IZOJLTS,O,O,O,O,O,X,X
IZOJLST,O,O,O,O,X,X,X
IZOJSTL,O,O,O,X,O,X,X
IZOJSLT,O,O,O,O,X,X,X
IZOSTLJ,O,O,O,X,O,X,X
IZOSTJL,O,O,O,X,O,X,X
IZOSLTJ,O,O,X,X,X,X,X
IZOSLJT,O,O,X,X,X,X,X
IZOSJTL,O,O,O,X,O,X,X
IZOSJLT,O,O,O,X,X,X,X
IOTLJSZ,O,X,O,X,X,X,X
IOTLJZS,O,X,O,X,X,X,X
IOTLSJZ,X,X,X,X,X,X,X
IOTLSZJ,X,X,X,X,X,X,X
IOTLZJS,O,X,O,X,X,X,X
IOTLZSJ,O,X,O,X,X,X,X
IOTJLSZ,O,X,O,X,X,X,X
IOTJLZS,O,X,O,X,X,X,X
IOTJSLZ,O,O,O,X,X,X,X
IOTJSZL,O,O,O,X,X,X,X
IOTJZLS,O,O,O,X,O,X,X
IOTJZSL,O,O,O,X,O,X,X
IOTSLJZ,X,O,X,X,X,X,X
IOTSLZJ,X,O,X,X,X,X,X
IOTSJLZ,X,O,X,X,X,X,X
IOTSJZL,X,O,X,X,X,X,X
IOTSZLJ,X,O,X,X,X,X,X
IOTSZJL,X,O,X,X,X,X,X
IOTZLJS,O,O,O,X,O,X,X
IOTZLSJ,O,O,O,X,O,X,X
IOTZJLS,O,O,O,X,O,X,X
IOTZJSL,O,O,O,X,O,X,X
IOTZSLJ,O,O,O,X,O,X,X
IOTZSJL,O,O,O,X,O,X,X
IOLTJSZ,O,X,X,X,X,X,X
IOLTJZS,O,X,X,X,X,X,X
IOLTSJZ,X,X,X,X,X,X,X
IOLTSZJ,X,X,X,X,X,X,X
IOLTZJS,O,X,X,X,X,X,X
IOLTZSJ,O,X,X,X,X,X,X
IOLJTSZ,O,X,X,O,X,X,X
IOLJTZS,O,X,X,O,X,X,X
IOLJSTZ,O,O,X,O,X,X,X
IOLJSZT,O,O,X,O,X,X,X
IOLJZTS,O,O,X,O,O,X,X
IOLJZST,O,O,X,O,X,X,X
IOLSTJZ,X,O,X,X,X,X,X
IOLSTZJ,X,O,X,X,X,X,O
IOLSJTZ,O,O,X,O,X,X,X
IOLSJZT,O,O,X,O,X,X,O
IOLSZTJ,O,O,X,O,X,X,O
IOLSZJT,O,O,X,O,X,X,O
IOLZTJS,O,O,X,X,O,X,X
IOLZTSJ,O,O,X,X,O,X,X
IOLZJTS,O,O,X,O,O,X,X
IOLZJST,O,O,X,O,X,X,X
IOLZSTJ,O,O,X,O,X,X,X
IOLZSJT,O,O,X,O,X,X,X
IOJTLSZ,O,X,O,O,X,X,X
IOJTLZS,O,X,O,O,X,X,X
IOJTSLZ,O,O,O,X,X,X,X
IOJTSZL,O,O,O,X,X,X,X
IOJTZLS,O,O,O,O,O,X,X
IOJTZSL,O,O,O,X,O,X,X
IOJLTSZ,O,X,O,O,X,X,X
IOJLTZS,O,X,O,O,X,X,X
IOJLSTZ,O,O,X,O,X,X,X
IOJLSZT,O,O,X,O,X,X,X
IOJLZTS,O,O,O,O,O,X,X
IOJLZST,O,O,O,O,X,X,X
IOJSTLZ,O,O,O,X,X,X,X
IOJSTZL,O,O,O,X,X,X,X
IOJSLTZ,O,O,X,O,X,X,X
IOJSLZT,O,O,X,O,X,X,X
IOJSZTL,O,O,O,X,O,X,X
IOJSZLT,O,O,O,O,X,X,X
IOJZTLS,O,O,O,O,O,X,X
IOJZTSL,O,O,O,X,O,X,X
IOJZLTS,O,O,O,O,O,X,X
IOJZLST,O,O,O,O,X,X,X
IOJZSTL,O,O,O,X,O,X,X
IOJZSLT,O,O,O,O,X,X,X
IOSTLJZ,X,O,X,X,X,X,X
IOSTLZJ,X,O,X,X,X,X,X
IOSTJLZ,X,O,X,X,X,X,X
IOSTJZL,X,O,X,X,X,X,X
IOSTZLJ,X,O,X,X,X,X,X
IOSTZJL,X,O,X,X,X,X,X
IOSLTJZ,X,O,X,X,X,X,X
IOSLTZJ,X,O,X,X,X,X,O
IOSLJTZ,O,O,X,X,X,X,X
IOSLJZT,O,O,X,X,X,X,O
IOSLZTJ,O,O,X,X,X,X,O
IOSLZJT,O,O,X,X,X,X,O
IOSJTLZ,O,O,X,X,X,X,X
IOSJTZL,O,O,X,X,X,X,X
IOSJLTZ,O,O,X,X,X,X,X
IOSJLZT,O,O,X,X,X,X,X
IOSJZTL,O,O,X,X,O,X,X
IOSJZLT,O,O,X,X,X,X,X
IOSZTLJ,O,O,X,X,O,X,X
IOSZTJL,O,O,X,X,O,X,X
IOSZLTJ,O,O,X,X,X,X,X
IOSZLJT,O,O,X,X,X,X,X
IOSZJTL,O,O,X,X,O,X,X
IOSZJLT,O,O,X,X,X,X,X
IOZTLJS,O,O,O,X,O,X,X
IOZTLSJ,O,O,O,X,O,X,X
IOZTJLS,O,O,O,X,O,X,X
IOZTJSL,O,O,O,X,O,X,X
IOZTSLJ,O,O,O,X,O,X,X
IOZTSJL,O,O,O,X,O,X,X
IOZLTJS,O,O,X,X,O,X,X
IOZLTSJ,O,O,X,X,O,X,X
IOZLJTS,O,O,X,O,O,X,X
IOZLJST,O,O,X,O,X,X,X
IOZLSTJ,O,O,X,O,X,X,X
IOZLSJT,O,O,X,O,X,X,X
IOZJTLS,O,O,O,O,O,X,X
IOZJTSL,O,O,O,X,O,X,X
IOZJLTS,O,O,O,O,O,X,X
IOZJLST,O,O,O,O,X,X,X
IOZJSTL,O,O,O,X,O,X,X
IOZJSLT,O,O,O,O,X,X,X
IOZSTLJ,O,O,O,X,O,X,X
IOZSTJL,O,O,O,X,O,X,X
IOZSLTJ,O,O,X,X,X,X,X
IOZSLJT,O,O,X,X,X,X,X
IOZSJTL,O,O,O,X,O,X,X
IOZSJLT,O,O,O,X,X,X,X
LTIJSZO,O,X,X,O,X,X,X
LTIJSOZ,X,X,X,O,X,X,X
LTIJZSO,O,X,O,O,X,X,X
LTIJZOS,O,X,O,O,X,X,X
LTIJOSZ,X,X,X,O,X,X,X
LTIJOZS,O,X,O,O,X,X,X
LTISJZO,X,X,X,O,X,X,X
LTISJOZ,X,X,X,O,X,X,X
LTISZJO,X,X,X,O,X,X,X
LTISZOJ,X,X,X,O,X,X,O
LTISOJZ,X,X,X,X,X,X,X
LTISOZJ,X,X,X,X,X,X,O
LTIZJSO,O,X,O,O,X,X,X
LTIZJOS,O,X,O,O,X,X,X
LTIZSJO,O,X,O,O,X,X,X
LTIZSOJ,O,X,X,O,X,X,X
LTIZOJS,X,X,X,X,X,X,X
LTIZOSJ,X,X,X,X,X,X,X
LTIOJSZ,X,X,X,X,X,X,X
LTIOJZS,X,X,X,X,X,X,X
LTIOSJZ,X,X,X,X,X,X,X
LTIOSZJ,X,X,X,X,X,X,X
LTIOZJS,X,X,X,X,X,X,X
LTIOZSJ,X,X,X,X,X,X,X
LTJISZO,X,X,X,O,X,X,X
LTJISOZ,X,X,X,O,X,X,X
LTJIZSO,O,X,O,O,X,X,X
LTJIZOS,X,X,O,O,X,X,X
LTJIOSZ,X,X,X,O,X,X,X
LTJIOZS,X,X,O,O,X,X,X
LTJSIZO,X,X,X,X,X,O,X
LTJSIOZ,X,X,X,X,X,X,X
LTJSZIO,O,X,O,O,X,O,X
LTJSZOI,O,X,O,O,X,O,X
LTJSOIZ,X,X,X,X,X,X,X
LTJSOZI,X,X,O,O,X,O,X
LTJZISO,O,X,O,O,X,X,X
LTJZIOS,X,X,O,O,X,X,X
LTJZSIO,O,X,O,O,X,X,X
LTJZSOI,O,X,O,O,X,X,X
LTJZOIS,X,X,O,O,X,X,X
LTJZOSI,O,X,O,O,X,X,X
LTJOISZ,X,X,X,O,X,X,X
LTJOIZS,X,X,O,O,X,X,X
LTJOSIZ,X,X,X,X,X,X,X
LTJOSZI,X,X,O,O,X,X,X
LTJOZIS,X,X,O,O,X,X,X
LTJOZSI,O,X,O,O,X,X,X
LTSIJZO,X,X,X,X,X,O,X
LTSIJOZ,X,X,X,X,X,X,X
LTSIZJO,X,X,X,X,X,X,X
LTSIZOJ,X,X,X,X,X,X,O
LTSIOJZ,X,X,X,X,X,X,X
LTSIOZJ,X,X,X,X,X,X,O
LTSJIZO,X,X,X,X,X,O,X
LTSJIOZ,X,X,X,X,X,X,X
LTSJZIO,X,X,O,O,X,O,X
LTSJZOI,X,X,O,O,X,O,X
LTSJOIZ,X,X,X,X,X,X,X
LTSJOZI,X,X,O,O,X,O,X
LTSZIJO,X,X,O,O,X,X,X
LTSZIOJ,X,X,X,X,X,X,X
LTSZJIO,X,X,O,O,X,O,X
LTSZJOI,X,X,O,O,X,O,X
LTSZOIJ,X,X,X,X,X,X,X
LTSZOJI,X,X,O,O,X,X,X
LTSOIJZ,X,X,X,X,X,X,X
LTSOIZJ,X,X,X,X,X,X,X
LTSOJIZ,X,X,X,X,X,X,X
LTSOJZI,X,X,X,X,X,O,X
LTSOZIJ,X,X,X,X,X,X,X
LTSOZJI,X,X,X,X,X,X,X
LTZIJSO,O,X,O,O,X,X,X
LTZIJOS,O,X,O,O,X,X,X
LTZISJO,O,X,O,O,X,X,X
LTZISOJ,O,X,X,O,X,X,X
LTZIOJS,X,X,X,X,X,X,X
LTZIOSJ,X,X,X,X,X,X,X
LTZJISO,O,X,O,O,X,X,X
LTZJIOS,X,X,O,O,X,X,X
LTZJSIO,O,X,O,O,X,X,X
LTZJSOI,O,X,O,O,X,X,X
LTZJOIS,X,X,O,O,X,X,X
LTZJOSI,O,X,O,O,X,X,X
LTZSIJO,O,X,O,O,X,X,X
LTZSIOJ,O,X,X,X,X,X,X
LTZSJIO,O,X,O,O,X,X,X
LTZSJOI,O,X,O,O,X,X,X
LTZSOIJ,O,X,X,X,X,X,X
LTZSOJI,O,X,O,O,X,X,X
LTZOIJS,X,X,X,X,X,X,X
LTZOISJ,X,X,X,X,X,X,X
LTZOJIS,X,X,O,X,X,X,X
LTZOJSI,X,X,O,X,X,X,X
LTZOSIJ,X,X,X,X,X,X,X
LTZOSJI,X,X,O,X,X,X,X
LTOIJSZ,X,X,X,X,X,X,X
LTOIJZS,X,X,X,X,X,X,X
LTOISJZ,X,X,X,X,X,X,X
LTOISZJ,X,X,X,X,X,X,X
LTOIZJS,X,X,X,X,X,X,X
LTOIZSJ,X,X,X,X,X,X,X
LTOJISZ,X,X,X,X,X,X,X
LTOJIZS,X,X,O,X,X,X,X
LTOJSIZ,X,X,X,X,X,X,X
LTOJSZI,X,X,O,X,X,X,X
LTOJZIS,X,X,O,X,X,X,X
LTOJZSI,X,X,O,X,X,X,X
LTOSIJZ,X,X,X,X,X,X,X
LTOSIZJ,X,X,X,X,X,X,X
LTOSJIZ,X,X,X,X,X,X,X
LTOSJZI,X,X,X,X,X,X,X
LTOSZIJ,X,X,X,X,X,X,X
LTOSZJI,X,X,X,X,X,X,X
LTOZIJS,X,X,X,X,X,X,X
LTOZISJ,X,X,X,X,X,X,X
LTOZJIS,X,X,O,X,X,X,X
LTOZJSI,X,X,O,X,X,X,X
LTOZSIJ,X,X,X,X,X,X,X
LTOZSJI,X,X,O,X,X,X,X
LITJSZO,O,X,O,O,X,X,X
LITJSOZ,X,X,O,O,X,X,X
LITJZSO,O,X,O,O,X,X,X
LITJZOS,O,X,O,O,X,X,X
LITJOSZ,X,X,O,O,X,X,X
LITJOZS,O,X,O,O,X,X,X
LITSJZO,X,X,O,O,X,X,X
LITSJOZ,X,X,O,O,X,X,X
LITSZJO,X,X,O,O,X,X,X
LITSZOJ,X,X,O,O,X,X,O
LITSOJZ,X,X,X,X,X,X,X
LITSOZJ,X,X,X,X,X,X,O
LITZJSO,O,X,O,O,X,X,X
LITZJOS,O,X,O,O,X,X,X
LITZSJO,O,X,O,O,X,X,X
LITZSOJ,O,X,O,O,X,X,X
LITZOJS,X,X,O,X,X,X,X
LITZOSJ,X,X,O,X,X,X,X
LITOJSZ,X,X,O,X,X,X,X
LITOJZS,X,X,O,X,X,X,X
LITOSJZ,X,X,X,X,X,X,X
LITOSZJ,X,X,X,X,X,X,X
LITOZJS,X,X,O,X,X,X,X
LITOZSJ,X,X,O,X,X,X,X
LIJTSZO,O,X,O,O,X,X,X
LIJTSOZ,X,X,O,O,X,X,X
LIJTZSO,O,X,O,O,X,X,X
LIJTZOS,O,X,O,O,X,X,X
LIJTOSZ,O,X,O,O,X,X,X
LIJTOZS,O,X,O,O,X,X,X
LIJSTZO,O,O,X,O,X,X,X
LIJSTOZ,X,X,X,O,X,X,X
LIJSZTO,O,O,X,O,X,X,X
LIJSZOT,O,O,X,O,X,X,O
LIJSOTZ,X,X,X,O,X,X,X
LIJSOZT,X,O,X,O,X,X,O
LIJZTSO,O,O,O,O,X,X,X
LIJZTOS,O,X,O,O,X,X,X
LIJZSTO,O,O,O,O,X,X,X
LIJZSOT,O,O,O,O,X,X,X
LIJZOTS,O,X,O,O,X,X,X
LIJZOST,O,X,O,O,X,X,X
LIJOTSZ,O,X,O,O,X,X,X
LIJOTZS,O,X,O,O,X,X,X
LIJOSTZ,O,X,X,O,X,X,X
LIJOSZT,O,X,X,O,X,X,X
LIJOZTS,O,X,O,O,X,X,X
LIJOZST,O,X,O,O,X,X,X
LISTJZO,X,O,X,O,X,X,X
LISTJOZ,X,X,X,O,X,X,X
LISTZJO,X,O,X,O,X,X,X
LISTZOJ,X,O,X,O,X,X,O
LISTOJZ,X,O,X,X,X,X,X
LISTOZJ,X,O,X,X,X,X,O
LISJTZO,O,O,X,O,X,X,X
LISJTOZ,X,X,X,O,X,X,X
LISJZTO,O,O,X,O,X,X,X
LISJZOT,O,O,X,O,X,X,O
LISJOTZ,X,O,X,O,X,X,X
LISJOZT,X,O,X,O,X,X,O
LISZTJO,O,O,X,O,X,X,X
LISZTOJ,O,O,X,O,X,X,O
LISZJTO,O,O,X,O,X,X,X
LISZJOT,O,O,X,O,X,X,O
LISZOTJ,O,O,X,O,X,X,O
LISZOJT,O,O,X,O,X,X,O
LISOTJZ,X,O,X,X,X,X,X
LISOTZJ,X,O,X,X,X,X,O
LISOJTZ,X,O,X,O,X,X,X
LISOJZT,X,O,X,O,X,X,O
LISOZTJ,X,O,X,O,X,X,O
LISOZJT,X,O,X,O,X,X,O
LIZTJSO,O,O,O,O,X,X,X
LIZTJOS,O,X,O,O,X,X,X
LIZTSJO,O,O,O,O,X,X,X
LIZTSOJ,O,O,O,O,X,X,X
LIZTOJS,X,O,O,X,X,X,X
LIZTOSJ,X,O,O,X,X,X,X
LIZJTSO,O,O,O,O,X,X,X
LIZJTOS,O,X,O,O,X,X,X
LIZJSTO,O,O,O,O,X,X,X
LIZJSOT,O,O,O,O,X,X,X
LIZJOTS,O,X,O,O,X,X,X
LIZJOST,O,X,O,O,X,X,X
LIZSTJO,O,O,O,O,X,X,X
LIZSTOJ,O,O,O,O,X,X,O
LIZSJTO,O,O,O,O,X,X,X
LIZSJOT,O,O,O,O,X,X,O
LIZSOTJ,O,O,X,O,X,X,O
LIZSOJT,O,O,X,O,X,X,O
LIZOTJS,O,O,X,X,X,X,X
LIZOTSJ,O,O,X,X,X,X,X
LIZOJTS,O,O,X,O,X,X,X
LIZOJST,O,O,X,O,X,X,X
LIZOSTJ,O,O,X,O,X,X,X
LIZOSJT,O,O,X,O,X,X,X
LIOTJSZ,O,X,X,X,X,X,X
LIOTJZS,O,X,X,X,X,X,X
LIOTSJZ,X,X,X,X,X,X,X
LIOTSZJ,X,X,X,X,X,X,X
LIOTZJS,O,X,X,X,X,X,X
LIOTZSJ,O,X,X,X,X,X,X
LIOJTSZ,O,X,X,O,X,X,X
LIOJTZS,O,X,X,O,X,X,X
LIOJSTZ,O,O,X,O,X,X,X
LIOJSZT,O,O,X,O,X,X,X
