sequence,v115@IhB8EeA8BeB8EeA8AeC8CeA8AeB8JeOEJvhFlgB3hB?5nB6oB8rBzqB,v115@IhB8EeA8BeB8EeA8AeC8CeA8AeB8JeOEJvhFlgBzhB?5nB6oB8qB3rB
IJLZSOT,X,O
IJLZOTS,O,X
IJLZOST,O,X
IJLOTSZ,X,X
IJLOTZS,O,X
IJLOSTZ,X,X
IJLOSZT,X,X
IJLOZTS,O,X
IJLOZST,O,X
IJSTLZO,X,X
IJSTLOZ,X,X
IJSTZLO,X,X
IJSTZOL,X,X
IJSTOLZ,X,X
IJSTOZL,X,X
IJSLTZO,X,X
IJSLTOZ,X,X
IJSLZTO,X,O
IJSLZOT,X,O
IJSLOTZ,X,X
IJSLOZT,X,O
IJSZTLO,X,O
IJSZTOL,X,O
IJSZLTO,X,O
IJSZLOT,X,O
IJSZOTL,X,O
IJSZOLT,X,O
IJSOTLZ,X,X
IJSOTZL,X,X
IJSOLTZ,X,X
IJSOLZT,X,O
IJSOZTL,X,O
IJSOZLT,X,O
IJZTLSO,O,O
IJZTLOS,X,X
IJZTSLO,O,O
IJZTSOL,X,O
IJZTOLS,X,X
IJZTOSL,X,X
IJZLTSO,O,O
IJZLTOS,X,X
IJZLSTO,O,O
IJZLSOT,X,O
IJZLOTS,O,X
IJZLOST,O,X
IJZSTLO,O,O
IJZSTOL,X,O
IJZSLTO,O,O
IJZSLOT,X,O
IJZSOTL,X,O
IJZSOLT,X,O
IJZOTLS,O,X
IJZOTSL,O,X
IJZOLTS,O,X
IJZOLST,O,X
IJZOSTL,O,X
IJZOSLT,O,X
IJOTLSZ,X,X
IJOTLZS,O,X
IJOTSLZ,X,X
IJOTSZL,X,X
IJOTZLS,O,X
IJOTZSL,O,X
IJOLTSZ,X,X
IJOLTZS,O,X
IJOLSTZ,X,X
IJOLSZT,X,X
IJOLZTS,O,X
IJOLZST,O,X
IJOSTLZ,X,X
IJOSTZL,X,X
IJOSLTZ,X,X
IJOSLZT,X,X
IJOSZTL,X,X
IJOSZLT,X,X
IJOZTLS,O,X
IJOZTSL,O,X
IJOZLTS,O,X
IJOZLST,O,X
IJOZSTL,O,X
IJOZSLT,O,X
ISTLJZO,X,X
ISTLJOZ,X,X
ISTLZJO,X,X
ISTLZOJ,X,X
ISTLOJZ,X,X
ISTLOZJ,X,X
ISTJLZO,X,X
ISTJLOZ,X,X
ISTJZLO,X,X
ISTJZOL,X,X
ISTJOLZ,X,X
ISTJOZL,X,X
ISTZLJO,X,X
ISTZLOJ,X,X
ISTZJLO,X,X
ISTZJOL,X,X
ISTZOLJ,X,X
ISTZOJL,X,X
ISTOLJZ,X,X
ISTOLZJ,X,X
ISTOJLZ,X,X
ISTOJZL,X,X
ISTOZLJ,X,X
ISTOZJL,X,X
ISLTJZO,X,X
ISLTJOZ,X,X
ISLTZJO,X,X
ISLTZOJ,X,X
ISLTOJZ,X,X
ISLTOZJ,X,X
ISLJTZO,X,X
ISLJTOZ,X,X
ISLJZTO,X,O
ISLJZOT,X,O
ISLJOTZ,X,X
ISLJOZT,X,O
ISLZTJO,X,O
ISLZTOJ,X,O
ISLZJTO,X,O
ISLZJOT,X,O
ISLZOTJ,X,O
ISLZOJT,X,O
ISLOTJZ,X,X
ISLOTZJ,X,X
ISLOJTZ,X,X
ISLOJZT,X,O
ISLOZTJ,X,O
ISLOZJT,X,O
ISJTLZO,X,X
ISJTLOZ,X,X
ISJTZLO,X,X
ISJTZOL,X,X
ISJTOLZ,X,X
ISJTOZL,X,X
ISJLTZO,X,X
ISJLTOZ,X,X
ISJLZTO,X,O
ISJLZOT,X,O
ISJLOTZ,X,X
ISJLOZT,X,O
ISJZTLO,X,O
ISJZTOL,X,O
ISJZLTO,X,O
ISJZLOT,X,O
ISJZOTL,X,O
ISJZOLT,X,O
ISJOTLZ,X,X
ISJOTZL,X,X
ISJOLTZ,X,X
ISJOLZT,X,O
ISJOZTL,X,O
ISJOZLT,X,O
ISZTLJO,X,O
ISZTLOJ,X,O
ISZTJLO,X,O
ISZTJOL,X,O
ISZTOLJ,X,O
ISZTOJL,X,O
ISZLTJO,X,O
ISZLTOJ,X,O
ISZLJTO,X,O
ISZLJOT,X,O
ISZLOTJ,X,O
ISZLOJT,X,O
ISZJTLO,X,O
ISZJTOL,X,O
ISZJLTO,X,O
ISZJLOT,X,O
ISZJOTL,X,O
ISZJOLT,X,O
ISZOTLJ,X,O
ISZOTJL,X,O
ISZOLTJ,X,O
ISZOLJT,X,O
ISZOJTL,X,O
ISZOJLT,X,O
ISOTLJZ,X,X
ISOTLZJ,X,X
ISOTJLZ,X,X
ISOTJZL,X,X
ISOTZLJ,X,X
ISOTZJL,X,X
ISOLTJZ,X,X
ISOLTZJ,X,X
ISOLJTZ,X,X
ISOLJZT,X,O
ISOLZTJ,X,O
ISOLZJT,X,O
ISOJTLZ,X,X
ISOJTZL,X,X
ISOJLTZ,X,X
ISOJLZT,X,O
ISOJZTL,X,O
ISOJZLT,X,O
ISOZTLJ,X,O
ISOZTJL,X,O
ISOZLTJ,X,O
ISOZLJT,X,O
ISOZJTL,X,O
ISOZJLT,X,O
IZTLJSO,O,O
IZTLJOS,X,X
IZTLSJO,O,O
IZTLSOJ,X,O
IZTLOJS,X,X
IZTLOSJ,X,X
IZTJLSO,O,O
IZTJLOS,X,X
IZTJSLO,O,O
IZTJSOL,X,O
IZTJOLS,X,X
IZTJOSL,X,X
IZTSLJO,O,O
IZTSLOJ,X,O
IZTSJLO,O,O
IZTSJOL,X,O
IZTSOLJ,X,O
IZTSOJL,X,O
IZTOLJS,X,X
IZTOLSJ,X,X
IZTOJLS,X,X
IZTOJSL,X,X
IZTOSLJ,X,X
IZTOSJL,X,X
IZLTJSO,O,O
IZLTJOS,X,X
IZLTSJO,O,O
IZLTSOJ,X,O
IZLTOJS,X,X
IZLTOSJ,X,X
IZLJTSO,O,O
IZLJTOS,X,X
IZLJSTO,O,O
IZLJSOT,X,O
IZLJOTS,O,X
IZLJOST,O,X
IZLSTJO,O,O
IZLSTOJ,X,O
IZLSJTO,O,O
IZLSJOT,X,O
IZLSOTJ,X,O
IZLSOJT,X,O
IZLOTJS,O,X
IZLOTSJ,O,X
IZLOJTS,O,X
IZLOJST,O,X
IZLOSTJ,O,X
IZLOSJT,O,X
IZJTLSO,O,O
IZJTLOS,X,X
IZJTSLO,O,O
IZJTSOL,X,O
IZJTOLS,X,X
IZJTOSL,X,X
IZJLTSO,O,O
IZJLTOS,X,X
IZJLSTO,O,O
IZJLSOT,X,O
IZJLOTS,O,X
IZJLOST,O,X
IZJSTLO,O,O
IZJSTOL,X,O
IZJSLTO,O,O
IZJSLOT,X,O
IZJSOTL,X,O
IZJSOLT,X,O
IZJOTLS,O,X
IZJOTSL,O,X
IZJOLTS,O,X
IZJOLST,O,X
IZJOSTL,O,X
IZJOSLT,O,X
IZSTLJO,O,O
IZSTLOJ,X,O
IZSTJLO,O,O
IZSTJOL,X,O
IZSTOLJ,X,O
IZSTOJL,X,O
IZSLTJO,O,O
IZSLTOJ,X,O
IZSLJTO,O,O
IZSLJOT,X,O
IZSLOTJ,X,O
IZSLOJT,X,O
IZSJTLO,O,O
IZSJTOL,X,O
IZSJLTO,O,O
IZSJLOT,X,O
IZSJOTL,X,O
IZSJOLT,X,O
IZSOTLJ,X,O
IZSOTJL,X,O
IZSOLTJ,X,O
IZSOLJT,X,O
IZSOJTL,X,O
IZSOJLT,X,O
IZOTLJS,O,X
IZOTLSJ,O,X
IZOTJLS,O,X
IZOTJSL,O,X
IZOTSLJ,O,X
IZOTSJL,O,X
IZOLTJS,O,X
IZOLTSJ,O,X
IZOLJTS,O,X
IZOLJST,O,X
IZOLSTJ,O,X
IZOLSJT,O,X
IZOJTLS,O,X
IZOJTSL,O,X
IZOJLTS,O,X
IZOJLST,O,X
IZOJSTL,O,X
IZOJSLT,O,X
IZOSTLJ,O,X
IZOSTJL,O,X
IZOSLTJ,O,X
IZOSLJT,O,X
IZOSJTL,O,X
IZOSJLT,O,X
IOTLJSZ,X,X
IOTLJZS,O,X
IOTLSJZ,X,X
IOTLSZJ,X,X
IOTLZJS,O,X
IOTLZSJ,O,X
IOTJLSZ,X,X
IOTJLZS,O,X
IOTJSLZ,X,X
IOTJSZL,X,X
IOTJZLS,O,X
IOTJZSL,O,X
IOTSLJZ,X,X
IOTSLZJ,X,X
IOTSJLZ,X,X
IOTSJZL,X,X
IOTSZLJ,X,X
IOTSZJL,X,X
IOTZLJS,O,X
IOTZLSJ,O,X
IOTZJLS,O,X
IOTZJSL,O,X
IOTZSLJ,O,X
IOTZSJL,O,X
IOLTJSZ,X,X
IOLTJZS,O,X
IOLTSJZ,X,X
IOLTSZJ,X,X
IOLTZJS,O,X
IOLTZSJ,O,X
IOLJTSZ,X,X
IOLJTZS,O,X
IOLJSTZ,X,X
IOLJSZT,X,X
IOLJZTS,O,X
IOLJZST,O,X
IOLSTJZ,X,X
IOLSTZJ,X,X
IOLSJTZ,X,X
IOLSJZT,X,X
IOLSZTJ,X,X
IOLSZJT,X,X
IOLZTJS,O,X
IOLZTSJ,O,X
IOLZJTS,O,X
IOLZJST,O,X
IOLZSTJ,O,X
IOLZSJT,O,X
IOJTLSZ,X,X
IOJTLZS,O,X
IOJTSLZ,X,X
IOJTSZL,X,X
IOJTZLS,O,X
IOJTZSL,O,X
IOJLTSZ,X,X
IOJLTZS,O,X
IOJLSTZ,X,X
IOJLSZT,X,X
IOJLZTS,O,X
IOJLZST,O,X
IOJSTLZ,X,X
IOJSTZL,X,X
IOJSLTZ,X,X
IOJSLZT,X,X
IOJSZTL,X,X
IOJSZLT,X,X
IOJZTLS,O,X
IOJZTSL,O,X
IOJZLTS,O,X
IOJZLST,O,X
IOJZSTL,O,X
IOJZSLT,O,X
IOSTLJZ,X,X
IOSTLZJ,X,X
IOSTJLZ,X,X
IOSTJZL,X,X
IOSTZLJ,X,X
IOSTZJL,X,X
IOSLTJZ,X,X
IOSLTZJ,X,X
IOSLJTZ,X,X
IOSLJZT,X,X
IOSLZTJ,X,X
IOSLZJT,X,X
IOSJTLZ,X,X
IOSJTZL,X,X
IOSJLTZ,X,X
IOSJLZT,X,X
IOSJZTL,X,X
IOSJZLT,X,X
IOSZTLJ,X,X
IOSZTJL,X,X
IOSZLTJ,X,X
IOSZLJT,X,X
IOSZJTL,X,X
IOSZJLT,X,X
IOZTLJS,O,X
IOZTLSJ,O,X
IOZTJLS,O,X
IOZTJSL,O,X
IOZTSLJ,O,X
IOZTSJL,O,X
IOZLTJS,O,X
IOZLTSJ,O,X
IOZLJTS,O,X
IOZLJST,O,X
IOZLSTJ,O,X
IOZLSJT,O,X
IOZJTLS,O,X
IOZJTSL,O,X
IOZJLTS,O,X
IOZJLST,O,X
IOZJSTL,O,X
IOZJSLT,O,X
IOZSTLJ,O,X
IOZSTJL,O,X
IOZSLTJ,O,X
IOZSLJT,O,X
IOZSJTL,O,X
IOZSJLT,O,X
LTIJSZO,X,X
LTIJSOZ,X,X
LTIJZSO,O,O
LTIJZOS,X,X
LTIJOSZ,X,X
LTIJOZS,O,X
LTISJZO,X,X
LTISJOZ,X,X
LTISZJO,X,X
LTISZOJ,X,X
LTISOJZ,X,X
LTISOZJ,X,X
LTIZJSO,O,O
LTIZJOS,X,X
LTIZSJO,O,O
LTIZSOJ,X,O
LTIZOJS,X,X
LTIZOSJ,X,X
LTIOJSZ,X,X
LTIOJZS,O,X
LTIOSJZ,X,X
LTIOSZJ,X,X
LTIOZJS,O,X
LTIOZSJ,O,X
LTJISZO,X,X
LTJISOZ,X,X
LTJIZSO,O,O
LTJIZOS,X,X
LTJIOSZ,X,X
LTJIOZS,O,X
LTJSIZO,X,X
LTJSIOZ,X,X
LTJSZIO,X,X
LTJSZOI,X,X
LTJSOIZ,X,X
LTJSOZI,X,X
LTJZISO,O,O
LTJZIOS,X,X
LTJZSIO,O,X
LTJZSOI,X,X
LTJZOIS,X,X
LTJZOSI,X,X
LTJOISZ,X,X
LTJOIZS,O,X
LTJOSIZ,X,X
LTJOSZI,X,X
LTJOZIS,O,X
LTJOZSI,O,X
LTSIJZO,X,X
LTSIJOZ,X,X
LTSIZJO,X,X
LTSIZOJ,X,X
LTSIOJZ,X,X
LTSIOZJ,X,X
LTSJIZO,X,X
LTSJIOZ,X,X
LTSJZIO,X,X
LTSJZOI,X,X
LTSJOIZ,X,X
LTSJOZI,X,X
LTSZIJO,X,X
LTSZIOJ,X,X
LTSZJIO,X,X
LTSZJOI,X,X
LTSZOIJ,X,X
LTSZOJI,X,X
LTSOIJZ,X,X
LTSOIZJ,X,X
LTSOJIZ,X,X
LTSOJZI,X,X
LTSOZIJ,X,X
LTSOZJI,X,X
LTZIJSO,O,O
LTZIJOS,X,X
LTZISJO,O,O
LTZISOJ,X,O
LTZIOJS,X,X
LTZIOSJ,X,X
LTZJISO,O,O
LTZJIOS,X,X
LTZJSIO,O,X
LTZJSOI,X,X
LTZJOIS,X,X
LTZJOSI,X,X
LTZSIJO,O,X
LTZSIOJ,X,X
LTZSJIO,O,X
LTZSJOI,X,X
LTZSOIJ,X,X
LTZSOJI,X,X
LTZOIJS,X,X
LTZOISJ,X,X
LTZOJIS,X,X
LTZOJSI,X,X
LTZOSIJ,X,X
LTZOSJI,X,X
LTOIJSZ,X,X
LTOIJZS,O,X
LTOISJZ,X,X
LTOISZJ,X,X
LTOIZJS,O,X
LTOIZSJ,O,X
LTOJISZ,X,X
LTOJIZS,O,X
LTOJSIZ,X,X
LTOJSZI,X,X
LTOJZIS,O,X
LTOJZSI,O,X
LTOSIJZ,X,X
LTOSIZJ,X,X
LTOSJIZ,X,X
LTOSJZI,X,X
LTOSZIJ,X,X
LTOSZJI,X,X
LTOZIJS,O,X
LTOZISJ,O,X
LTOZJIS,O,X
LTOZJSI,O,X
LTOZSIJ,O,X
LTOZSJI,O,X
LITJSZO,X,X
LITJSOZ,X,X
LITJZSO,O,O
LITJZOS,X,X
LITJOSZ,X,X
LITJOZS,O,X
LITSJZO,X,X
LITSJOZ,X,X
LITSZJO,X,X
LITSZOJ,X,X
LITSOJZ,X,X
LITSOZJ,X,X
LITZJSO,O,O
LITZJOS,X,X
LITZSJO,O,O
LITZSOJ,X,O
LITZOJS,X,X
LITZOSJ,X,X
LITOJSZ,X,X
LITOJZS,O,X
LITOSJZ,X,X
LITOSZJ,X,X
LITOZJS,O,X
LITOZSJ,O,X
LIJTSZO,X,X
LIJTSOZ,X,X
LIJTZSO,O,O
LIJTZOS,X,X
LIJTOSZ,X,X
LIJTOZS,O,X
LIJSTZO,X,X
LIJSTOZ,X,X
LIJSZTO,X,O
LIJSZOT,X,O
LIJSOTZ,X,X
LIJSOZT,X,O
LIJZTSO,O,O
LIJZTOS,X,X
LIJZSTO,O,O
LIJZSOT,X,O
LIJZOTS,O,X
LIJZOST,O,X
LIJOTSZ,X,X
LIJOTZS,O,X
LIJOSTZ,X,X
LIJOSZT,X,X
LIJOZTS,O,X
LIJOZST,O,X
LISTJZO,X,X
LISTJOZ,X,X
LISTZJO,X,X
LISTZOJ,X,X
LISTOJZ,X,X
LISTOZJ,X,X
LISJTZO,X,X
LISJTOZ,X,X
LISJZTO,X,O
LISJZOT,X,O
LISJOTZ,X,X
LISJOZT,X,O
LISZTJO,X,O
LISZTOJ,X,O
LISZJTO,X,O
LISZJOT,X,O
LISZOTJ,X,O
LISZOJT,X,O
LISOTJZ,X,X
LISOTZJ,X,X
LISOJTZ,X,X
LISOJZT,X,O
LISOZTJ,X,O
LISOZJT,X,O
LIZTJSO,O,O
LIZTJOS,X,X
LIZTSJO,O,O
LIZTSOJ,X,O
LIZTOJS,X,X
LIZTOSJ,X,X
LIZJTSO,O,O
LIZJTOS,X,X
LIZJSTO,O,O
LIZJSOT,X,O
LIZJOTS,O,X
LIZJOST,O,X
LIZSTJO,O,O
LIZSTOJ,X,O
LIZSJTO,O,O
LIZSJOT,X,O
LIZSOTJ,X,O
LIZSOJT,X,O
LIZOTJS,O,X
LIZOTSJ,O,X
LIZOJTS,O,X
LIZOJST,O,X
LIZOSTJ,O,X
LIZOSJT,O,X
LIOTJSZ,X,X
LIOTJZS,O,X
LIOTSJZ,X,X
LIOTSZJ,X,X
LIOTZJS,O,X
LIOTZSJ,O,X
LIOJTSZ,X,X
LIOJTZS,O,X
LIOJSTZ,X,X
LIOJSZT,X,X
LIOJZTS,O,X
LIOJZST,O,X
LIOSTJZ,X,X
LIOSTZJ,X,X
LIOSJTZ,X,X
LIOSJZT,X,X
LIOSZTJ,X,X
LIOSZJT,X,X
LIOZTJS,O,X
LIOZTSJ,O,X
LIOZJTS,O,X
LIOZJST,O,X
LIOZSTJ,O,X
LIOZSJT,O,X
LJTISZO,X,X
LJTISOZ,X,X
LJTIZSO,O,O
LJTIZOS,X,X
LJTIOSZ,X,X
LJTIOZS,O,X
LJTSIZO,X,X
LJTSIOZ,X,X
LJTSZIO,X,X
LJTSZOI,X,X
LJTSOIZ,X,X
LJTSOZI,X,X
LJTZISO,O,O
LJTZIOS,X,X
LJTZSIO,O,X
LJTZSOI,X,X
LJTZOIS,X,X
LJTZOSI,X,X
LJTOISZ,X,X
LJTOIZS,O,X
LJTOSIZ,X,X
LJTOSZI,X,X
LJTOZIS,O,X
LJTOZSI,O,X
LJITSZO,X,X
LJITSOZ,X,X
LJITZSO,O,O
LJITZOS,X,X
LJITOSZ,X,X
LJITOZS,O,X
LJISTZO,X,X
LJISTOZ,X,X
LJISZTO,X,O
LJISZOT,X,O
LJISOTZ,X,X
LJISOZT,X,O
LJIZTSO,O,O
LJIZTOS,X,X
LJIZSTO,O,O
LJIZSOT,X,O
LJIZOTS,O,X
LJIZOST,O,X
LJIOTSZ,X,X
LJIOTZS,O,X
LJIOSTZ,X,X
LJIOSZT,X,X
LJIOZTS,O,X
LJIOZST,O,X
LJSTIZO,X,X
LJSTIOZ,X,X
LJSTZIO,X,X
LJSTZOI,X,X
LJSTOIZ,X,X
LJSTOZI,X,X
LJSITZO,X,X
LJSITOZ,X,X
LJSIZTO,X,O
LJSIZOT,X,O
LJSIOTZ,X,X
LJSIOZT,X,O
LJSZTIO,X,O
LJSZTOI,X,O
LJSZITO,X,O
LJSZIOT,X,O
LJSZOTI,X,O
LJSZOIT,X,O
LJSOTIZ,X,X
LJSOTZI,X,X
LJSOITZ,X,X
LJSOIZT,X,O
LJSOZTI,X,O
LJSOZIT,X,O
LJZTISO,O,O
LJZTIOS,X,X
LJZTSIO,O,X
LJZTSOI,X,X
LJZTOIS,X,X
LJZTOSI,X,X
LJZITSO,O,O
LJZITOS,X,X
LJZISTO,O,O
LJZISOT,X,O
LJZIOTS,O,X
LJZIOST,O,X
LJZSTIO,O,X
LJZSTOI,X,X
LJZSITO,O,X
LJZSIOT,X,X
LJZSOTI,X,X
LJZSOIT,X,X
LJZOTIS,O,X
LJZOTSI,O,X
LJZOITS,O,X
LJZOIST,O,X
LJZOSTI,O,X
LJZOSIT,O,X
LJOTISZ,X,X
LJOTIZS,O,X
LJOTSIZ,X,X
LJOTSZI,X,X
LJOTZIS,O,X
LJOTZSI,O,X
LJOITSZ,X,X
LJOITZS,O,X
LJOISTZ,X,X
LJOISZT,X,X
LJOIZTS,O,X
LJOIZST,O,X
LJOSTIZ,X,X
LJOSTZI,X,X
LJOSITZ,X,X
LJOSIZT,X,X
LJOSZTI,X,X
LJOSZIT,X,X
LJOZTIS,O,X
LJOZTSI,O,X
LJOZITS,O,X
LJOZIST,O,X
LJOZSTI,O,X
LJOZSIT,O,X
LSTIJZO,X,X
LSTIJOZ,X,X
LSTIZJO,X,X
LSTIZOJ,X,X
LSTIOJZ,X,X
LSTIOZJ,X,X
LSTJIZO,X,X
LSTJIOZ,X,X
LSTJZIO,X,X
LSTJZOI,X,X
LSTJOIZ,X,X
LSTJOZI,X,X
LSTZIJO,X,X
LSTZIOJ,X,X
LSTZJIO,X,X
LSTZJOI,X,X
LSTZOIJ,X,X
LSTZOJI,X,X
LSTOIJZ,X,X
LSTOIZJ,X,X
LSTOJIZ,X,X
LSTOJZI,X,X
LSTOZIJ,X,X
LSTOZJI,X,X
LSITJZO,X,X
LSITJOZ,X,X
LSITZJO,X,X
LSITZOJ,X,X
LSITOJZ,X,X
LSITOZJ,X,X
LSIJTZO,X,X
LSIJTOZ,X,X
LSIJZTO,X,O
LSIJZOT,X,O
LSIJOTZ,X,X
LSIJOZT,X,O
LSIZTJO,X,O
LSIZTOJ,X,O
LSIZJTO,X,O
LSIZJOT,X,O
LSIZOTJ,X,O
LSIZOJT,X,O
LSIOTJZ,X,X
LSIOTZJ,X,X
LSIOJTZ,X,X
LSIOJZT,X,O
LSIOZTJ,X,O
LSIOZJT,X,O
LSJTIZO,X,X
LSJTIOZ,X,X
LSJTZIO,X,X
LSJTZOI,X,X
LSJTOIZ,X,X
LSJTOZI,X,X
LSJITZO,X,X
LSJITOZ,X,X
LSJIZTO,X,O
LSJIZOT,X,O
LSJIOTZ,X,X
LSJIOZT,X,O
LSJZTIO,X,O
LSJZTOI,X,O
LSJZITO,X,O
LSJZIOT,X,O
LSJZOTI,X,O
LSJZOIT,X,O
LSJOTIZ,X,X
LSJOTZI,X,X
LSJOITZ,X,X
LSJOIZT,X,O
LSJOZTI,X,O
LSJOZIT,X,O
LSZTIJO,X,O
LSZTIOJ,X,O
LSZTJIO,X,O
LSZTJOI,X,O
LSZTOIJ,X,O
LSZTOJI,X,O
LSZITJO,X,O
LSZITOJ,X,O
LSZIJTO,X,O
LSZIJOT,X,O
LSZIOTJ,X,O
LSZIOJT,X,O
LSZJTIO,X,O
LSZJTOI,X,O
LSZJITO,X,O
LSZJIOT,X,O
LSZJOTI,X,O
LSZJOIT,X,O
LSZOTIJ,X,O
LSZOTJI,X,O
LSZOITJ,X,O
LSZOIJT,X,O
LSZOJTI,X,O
LSZOJIT,X,O
LSOTIJZ,X,X
LSOTIZJ,X,X
LSOTJIZ,X,X
LSOTJZI,X,X
LSOTZIJ,X,X
LSOTZJI,X,X
LSOITJZ,X,X
LSOITZJ,X,X
LSOIJTZ,X,X
LSOIJZT,X,O
LSOIZTJ,X,O
LSOIZJT,X,O
LSOJTIZ,X,X
LSOJTZI,X,X
LSOJITZ,X,X
LSOJIZT,X,O
LSOJZTI,X,O
LSOJZIT,X,O
LSOZTIJ,X,O
LSOZTJI,X,O
LSOZITJ,X,O
LSOZIJT,X,O
LSOZJTI,X,O
LSOZJIT,X,O
LZTIJSO,O,O
LZTIJOS,X,X
LZTISJO,O,O
LZTISOJ,X,O
LZTIOJS,X,X
LZTIOSJ,X,X
LZTJISO,O,O
LZTJIOS,X,X
LZTJSIO,O,X
LZTJSOI,X,X
LZTJOIS,X,X
LZTJOSI,X,X
LZTSIJO,O,X
LZTSIOJ,X,X
LZTSJIO,O,X
LZTSJOI,X,X
LZTSOIJ,X,X
LZTSOJI,X,X
LZTOIJS,X,X
LZTOISJ,X,X
LZTOJIS,X,X
LZTOJSI,X,X
LZTOSIJ,X,X
LZTOSJI,X,X
LZITJSO,O,O
LZITJOS,X,X
LZITSJO,O,O
LZITSOJ,X,O
LZITOJS,X,X
LZITOSJ,X,X
LZIJTSO,O,O
LZIJTOS,X,X
LZIJSTO,O,O
LZIJSOT,X,O
LZIJOTS,O,X
LZIJOST,O,X
LZISTJO,O,O
LZISTOJ,X,O
LZISJTO,O,O
LZISJOT,X,O
LZISOTJ,X,O
LZISOJT,X,O
LZIOTJS,O,X
LZIOTSJ,O,X
LZIOJTS,O,X
LZIOJST,O,X
LZIOSTJ,O,X
LZIOSJT,O,X
LZJTISO,O,O
LZJTIOS,X,X
LZJTSIO,O,X
LZJTSOI,X,X
LZJTOIS,X,X
LZJTOSI,X,X
LZJITSO,O,O
LZJITOS,X,X
LZJISTO,O,O
LZJISOT,X,O
LZJIOTS,O,X
LZJIOST,O,X
LZJSTIO,O,X
LZJSTOI,X,X
LZJSITO,O,X
LZJSIOT,X,X
LZJSOTI,X,X
LZJSOIT,X,X
LZJOTIS,O,X
LZJOTSI,O,X
LZJOITS,O,X
LZJOIST,O,X
LZJOSTI,O,X
LZJOSIT,O,X
LZSTIJO,O,X
LZSTIOJ,X,X
LZSTJIO,O,X
LZSTJOI,X,X
LZSTOIJ,X,X
LZSTOJI,X,X
LZSITJO,O,X
LZSITOJ,X,X
LZSIJTO,O,X
LZSIJOT,X,X
LZSIOTJ,X,X
LZSIOJT,X,X
LZSJTIO,O,X
LZSJTOI,X,X
LZSJITO,O,X
LZSJIOT,X,X
LZSJOTI,X,X
